inncode,generation,department,fulltimeparttime,tenure,managementlevel,engage1,engage2,recommendtoothers,csr,deib1,informed,teamfeeling,appreciatedatwork,trustteammates,voice,innovate,resourses1,decisionautonomy,ld1,ld2,passionateatwork,paysatisfaction,rewardsbenefits1,rewardsbenefits2,merit,ld3,treatrespect1,jobsecurity,worklifebalance1,worklifebalance2,workload,dmanager1,ld5,dmanager2,dmanager3,dmanager4,dmanager5,dmanager6,workenv1,dmanager7,dmanager8,dmanager9,deib2,wellbeing1,wellbeing2,workenv2,workenv3,gm1,gm2,gm3,intenttostayhl,recommendhl,chainscale,state,hotelzipcode,wellbeing,workenvironment,learningdevelopment,worklifebalance,deib,supportivegm,rewardsbenefits,engagement
100151,3,23,3,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,1,4,Florida,32819,5.0,5.0,5.0,5.0,5.0,4.67,5.0,5.0
100149,5,15,4,6,2,4,5,4,4,5,4,5,5,4,5,5,5,4,4,4,4,2,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,0,0,4,Florida,33019,5.0,5.0,4.25,5.0,5.0,5.0,4.0,4.5
100058,5,16,3,5,3,5,5,4,5,5,4,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,5,Florida,33132,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100182,4,16,3,8,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,New York,10019,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
100157,4,23,3,8,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Florida,32821,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100183,4,21,3,8,3,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4,1,0,4,New York,10036,4.5,4.0,4.5,4.0,4.0,4.33,4.0,4.5
100152,5,30,3,4,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,3,0,1,4,Georgia,30313,5.0,4.33,5.0,5.0,5.0,3.0,5.0,5.0
100165,5,20,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Illinois,60666,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100110,5,21,3,4,3,5,5,5,4,5,4,4,5,3,4,4,4,5,5,5,5,5,4,5,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,1,1,4,Washington DC (District of Columbia),20009,4.5,4.0,4.25,4.0,4.5,4.67,4.5,5.0
100100,4,2,4,8,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Nebraska,68102,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
