college_name,stream,year_of_study,ai_tools_used,daily_usage_hours,use_cases,trust_in_ai_tools,do_professors_allow_use,preferred_ai_tool,awareness_level,willing_to_pay_for_access,state,device_used,internet_access,impact_on_grades_binary
"ICFAI University, Raipur ",Engineering,2,"Gemini, Midjourney",3.5,Content Writing,5,Yes,Gemini,9,No,Chhattisgarh,Laptop,High,1
"Dr VRK Women's Medical College, Hyderabad ",Medical,4,Gemini,3.3,"Assignments, Resume Writing",4,Yes,Claude,8,Yes,Telangana,Mobile,Medium,1
"Lady Keane College, Shillong ",Management,1,Gemini,1.2,Assignments,3,Yes,Other,1,Yes,Meghalaya,Mobile,Poor,0
"Gurugram University, Gurgaon ",Arts,1,Copilot,1.0,Content Writing,2,No,Copilot,10,Yes,Haryana,Mobile,High,1
"SASTRA University, Thanjavur ",Engineering,4,Gemini,3.4,"MCQ Practice, Projects",4,Yes,Copilot,1,Yes,Tamil nadu,Tablet,High,0
Nehru College of Engineering and Research Centre ,Management,2,Gemini,1.9,"Doubt Solving, Resume Writing",3,No,Gemini,10,Yes,Kerala,Laptop,Medium,1
"Kolhan University, Chaibasa ",Law,3,Copilot,4.0,Learning new topics,4,No,Copilot,10,Yes,Jharkhand,Mobile,High,1
Dayananda Sagar College of Mangaement and Information ,Management,2,Other,2.4,"Exam Preparation, Resume Writing",2,Yes,Gemini,10,No,Karnataka,Mobile,Poor,0
"Jettwings Group of Institutes, Guwahati ",Hotel-management,4,Copilot,3.0,Exam Preparation,1,Yes,ChatGPT,5,No,Assam,Mobile,Medium,0
Mediciti Institute of Medical Sciences ,Medical,1,Bard,3.8,"Resume Writing, Assignments",3,No,Other,3,Yes,Telangana,Tablet,Medium,1
Sri Vasavi Engineering College ,Engineering,4,Bard,4.6,Content Writing,4,No,Claude,3,No,Andhra pradesh,Laptop,Medium,1
Institute of Science and Management ,Agriculture,4,Copilot,2.6,"MCQ Practice, Projects",4,No,Copilot,9,No,Jharkhand,Tablet,High,1
Indian Institute of Technology ,Arts,4,ChatGPT,2.1,Learning new topics,3,No,Gemini,10,Yes,Orissa,Tablet,Medium,1
"MotherHood University, Roorkee ",Science,1,Claude,2.5,"Assignments, Exam Preparation",5,No,Gemini,5,Yes,Uttarakhand,Tablet,Medium,0
International Institute of Information Technology ,Engineering,3,Gemini,1.9,"Coding Help, Doubt Solving, Learning new topics",5,No,Gemini,5,Yes,Orissa,Laptop,Poor,1
IAS Academy ,Medical,3,Gemini,4.1,"Doubt Solving, Resume Writing",3,No,Copilot,9,Yes,West bengal,Mobile,High,0
Mehr Chand Mahajan Dayanand Anglo Vedic College ,Management,4,Claude,0.5,"Content Writing, Doubt Solving",1,No,Gemini,3,No,Chandigarh,Tablet,High,0
"Vanijya Mahavidhyalaya, Patna ",Management,4,"ChatGPT, Copilot",2.3,Content Writing,1,No,ChatGPT,10,No,Bihar,Tablet,High,0
"Merit Swiss Asian School of Hotel Management, ",Hotel-management,3,Claude,1.1,"Doubt Solving, Coding Help",3,No,ChatGPT,5,Yes,Tamil nadu,Mobile,High,0
Mount Carmel College ,Commerce,4,Bard,1.5,"Resume Writing, Assignments",1,No,Copilot,3,Yes,Karnataka,Laptop,Poor,1
"Bir Tikendrajit University, Imphal ",Agriculture,4,Copilot,1.6,Coding Help,2,No,Claude,2,Yes,Manipur,Tablet,Poor,0
Guru Jambheshwar University of Science and Technology ,Pharmacy,1,"ChatGPT, Copilot",3.6,Content Writing,4,Yes,Other,9,Yes,Haryana,Laptop,High,1
"Kapol Vidyanidhi College of Management and Technology, ",Hotel-management,2,ChatGPT,2.3,"Doubt Solving, Resume Writing",3,Yes,Gemini,10,No,Maharashtra,Laptop,Poor,0
"SRM University Delhi NCR, Sonepat ",Management,4,ChatGPT,0.6,"Doubt Solving, Coding Help",5,No,Claude,1,No,Haryana,Laptop,Medium,1
Manav Rachna International Institute of Research and ,Engineering,1,Claude,0.6,"Resume Writing, Doubt Solving",4,No,Claude,7,No,Haryana,Mobile,High,1
"Government Law College, Tiruchirappalli ",Law,4,Copilot,4.5,"Exam Prep, Notes",3,Yes,ChatGPT,3,No,Tamil nadu,Laptop,Poor,0
"Adwaita Malla Barman Smriti Mahavidyalaya (AMBS), Amarpur ",Arts,4,Gemini,2.6,Project Work,2,Yes,ChatGPT,5,Yes,Tripura,Laptop,High,1
PVKN Govt Degree College ,Science,4,Gemini,3.2,Content Writing,5,No,Gemini,9,No,Andhra pradesh,Tablet,High,1
"CMJ University, Ri-Bhoi ",Hotel-management,1,Copilot,1.5,"Project Work, Doubt Solving, MCQ Practice",1,No,Claude,4,Yes,Meghalaya,Mobile,Poor,0
"CMJ University, Ri-Bhoi ",Management,2,"ChatGPT, Copilot",0.7,"Assignments, Coding Help",2,No,Gemini,2,No,Meghalaya,Laptop,Medium,0
"Government DB Girl's Post Graduate College, Raipur ",Commerce,4,Copilot,0.9,"Learning new topics, Doubt Solving",5,Yes,ChatGPT,10,Yes,Chhattisgarh,Mobile,High,1
Daulat Ram College ,Science,2,"ChatGPT, Gemini, Copilot",3.4,"Assignments, Coding Help",2,Yes,Gemini,3,No,Delhi ncr,Laptop,Poor,1
"Ahmedabad Management Association, Ahmedabad ",Commerce,4,Other,1.6,"MCQ Practice, Project Work",4,Yes,Claude,10,Yes,Gujarat,Tablet,Medium,0
Centurion University of Technology and Management ,Arts,3,ChatGPT,2.9,"MCQ Practice, Projects",4,No,Copilot,1,No,Andhra pradesh,Tablet,Poor,0
Jayoti Vidyapeeth Women's University ,Agriculture,2,Bard,4.3,"Learning new topics, Resume Writing",4,Yes,Gemini,6,Yes,Rajasthan,Laptop,Poor,1
Virudhunagar Hindu Nadar's Senthikumara Nadar College ,Commerce,1,Copilot,3.2,Project Work,3,Yes,Claude,3,Yes,Tamil nadu,Mobile,Medium,1
Netaji Subhas University ,Management,2,Copilot,2.6,Learning new topics,1,Yes,ChatGPT,5,No,Jharkhand,Mobile,Medium,1
"Tagore Government College of Education, Port Blair ",Arts,2,Bard,1.5,"Exam Preparation, Assignments, Resume Writing",5,Yes,Copilot,3,Yes,Andaman,Mobile,Medium,0
Baba Kundan Singh Memorial Law College ,Law,4,"ChatGPT, Gemini, Copilot",3.7,Learning new topics,4,Yes,Other,4,No,Punjab,Tablet,Poor,0
"Adwaita Malla Barman Smriti Mahavidyalaya (AMBS), Amarpur ",Arts,4,ChatGPT,4.7,"MCQ Practice, Assignments, Content Writing",1,No,Copilot,4,No,Tripura,Mobile,High,1
Institute of Medical Sciences and SUM Hospital ,Medical,2,ChatGPT,1.3,"Assignments, Coding Help",3,Yes,ChatGPT,8,No,Orissa,Laptop,High,0
"ICFAI University, Raipur ",Management,1,Bard,4.6,Doubt Solving,2,No,Bard,8,No,Chhattisgarh,Tablet,High,0
"DY Patil University, Navi Mumbai ",Law,3,Gemini,3.7,Coding Help,2,Yes,Other,4,Yes,Maharashtra,Mobile,Poor,0
Eastern Institute for Integrated Learning In Management ,Science,3,Claude,2.6,"Exam Preparation, Coding Help, Assignments",2,No,Claude,4,Yes,West bengal,Laptop,High,0
"Government DB Girl's Post Graduate College, Raipur ",Commerce,4,Other,2.6,"Learning new topics, Exam Preparation",5,No,Claude,9,Yes,Chhattisgarh,Laptop,High,0
Indian School of Business Management and Administration ,Management,2,Other,3.8,"Exam Preparation, Doubt Solving",3,No,Bard,2,Yes,Gujarat,Tablet,Medium,0
Nehru Arts and Science College ,Agriculture,4,Other,3.3,"Resume Writing, Assignments",2,Yes,Gemini,9,No,Kerala,Laptop,Poor,0
Sri Satya Sai University of Technology & ,Hotel-management,2,"Gemini, Midjourney",3.7,"Doubt Solving, Resume Writing",1,No,Copilot,4,No,Madhya pradesh,Mobile,Medium,0
"Jorhat Law College, Jorhat ",Law,4,"Gemini, Midjourney",1.4,"Assignments, Coding Help",3,No,Copilot,5,Yes,Assam,Tablet,Poor,1
"Shri Narayan Prasad Awasthi Government Ayurved College, ",Medical,3,ChatGPT,2.0,Content Writing,4,Yes,Copilot,4,Yes,Chhattisgarh,Mobile,Medium,1
Amity Business School ,Management,1,Gemini,1.3,"Content Writing, MCQ Practice, Doubt Solving",2,Yes,Copilot,2,Yes,Uttar pradesh,Mobile,High,0
